ValDate,MurexId,PortfolioId,CompanyId,ProgramId,AssetTypeId,CmpName,CmpPortfolio,Account
2019-11-15,100344,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,100944,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,100945,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,101366,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,101367,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,102119,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,102293,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,102759,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,102850,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,102915,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,102916,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,102923,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,103565,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,103576,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,103942,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,104727,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,104728,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,104830,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,105984,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,107648,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,107649,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,107691,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,107828,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,107971,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,107976,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,108419,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,108436,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,108588,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,108798,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,108799,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,108858,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,109026,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,109059,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,109494,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,109637,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,111175,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,111176,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,113072,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,113987,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,114261,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,114327,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,114716,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,117572,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,117804,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,117856,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,117857,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,118555,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,120003,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,120133,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,120480,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,120531,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,120798,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,120826,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,121109,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,121110,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,121210,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,121260,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,121261,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,121283,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,121620,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,121621,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,121628,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,121757,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,121758,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,122119,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,122363,R05VA10_01,10,VAGB_TARE_GMWB,IRS,TFLIC,TFLIC,CRP60
2019-11-15,122423,F0LVA07_01,07,VAGB_TCM_GPS_RIDER,IRS,TLIC,Non-FREC,CRP85
2019-11-15,122987,F0LVA10_01,10,VAGB_TCM_GPS_RIDER,IRS,TFLIC,TFLIC,CRP115
2019-11-15,122988,F0LVA10_01,10,VAGB_TCM_GPS_RIDER,IRS,TFLIC,TFLIC,CRP115
2019-11-15,122990,F0LVA10_01,10,VAGB_TCM_GPS_RIDER,IRS,TFLIC,TFLIC,CRP115
2019-11-15,123001,F0LVA10_01,10,VAGB_TCM_GPS_RIDER,IRS,TFLIC,TFLIC,CRP115
2019-11-15,123002,F0LVA10_01,10,VAGB_TCM_GPS_RIDER,IRS,TFLIC,TFLIC,CRP115
